日期 標的物 標的物平均 損益 持有
2003/6/10 4832.200195 4763.202051 0.000000 1
2003/6/11 4804.649902 4788.516016 0.000000 1
2003/6/12 4878.430176 4816.534082 0.000000 1
2003/6/13 4881.899902 4844.824023 0.000000 1
2003/6/16 4892.359863 4857.908008 0.000000 1
2003/6/17 4973.189941 4886.105957 0.000000 1
2003/6/18 4999.069824 4924.989941 0.000000 1
2003/6/19 5048.910156 4959.085938 0.000000 1
2003/6/20 5002.580078 4983.221973 0.000000 1
2003/6/23 4921.720215 4989.094043 0.000000 1
2003/6/24 4909.310059 4976.318066 77.109863 0
2003/6/25 4933.790039 4963.262109 77.109863 0
2003/6/26 4894.009766 4932.282031 77.109863 0
2003/6/27 4877.899902 4907.345996 77.109863 0
2003/6/30 4872.149902 4897.431934 77.109863 0
2003/7/1 5017.779785 4919.125879 77.109863 1
2003/7/2 5095.240234 4951.415918 77.109863 1
2003/7/3 5095.310059 4991.675977 77.109863 1
2003/7/4 5151.850098 5046.466016 77.109863 1
2003/7/7 5322.259766 5136.487988 77.109863 1
2003/7/8 5367.970215 5206.526074 77.109863 1
2003/7/9 5358.910156 5259.260059 77.109863 1
2003/7/10 5282.379883 5296.674023 77.109863 1
2003/7/11 5239.959961 5314.295996 77.109863 1
2003/7/14 5349.939941 5319.832031 77.109863 1
2003/7/15 5335.859863 5313.409961 77.109863 1
2003/7/16 5413.870117 5324.401953 77.109863 1
2003/7/17 5299.509766 5327.827930 77.109863 1
2003/7/18 5287.379883 5337.311914 77.109863 1
2003/7/21 5219.299805 5311.183887 278.629883 0
2003/7/22 5261.009766 5296.213867 278.629883 0
2003/7/23 5287.890137 5271.017871 278.629883 0
2003/7/24 5402.750000 5291.665918 278.629883 1
2003/7/25 5394.750000 5313.139941 278.629883 1
2003/7/28 5451.799805 5359.639941 278.629883 1
2003/7/29 5342.459961 5375.929980 278.629883 1
2003/7/30 5307.180176 5379.787988 278.629883 1
2003/7/31 5318.339844 5362.905957 194.219727 0
2003/8/1 5390.509766 5362.057910 194.219727 0
2003/8/4 5377.189941 5347.135938 194.219727 0
2003/8/5 5259.450195 5330.533984 194.219727 0
2003/8/6 5225.830078 5314.263965 194.219727 0
2003/8/7 5259.069824 5302.409961 194.219727 0
2003/8/8 5232.549805 5270.817969 194.219727 0
2003/8/11 5214.600098 5238.300000 194.219727 0
2003/8/12 5255.240234 5237.458008 194.219727 0
2003/8/13 5442.270020 5280.745996 194.219727 1
2003/8/14 5436.750000 5316.282031 194.219727 1
2003/8/15 5488.740234 5367.520117 194.219727 1
2003/8/18 5516.799805 5427.960059 194.219727 1
2003/8/19 5512.160156 5479.344043 194.219727 1
2003/8/20 5543.609863 5499.612012 194.219727 1
2003/8/21 5611.859863 5534.633984 194.219727 1
2003/8/22 5646.620117 5566.209961 194.219727 1
2003/8/25 5686.850098 5600.220020 194.219727 1
2003/8/26 5558.250000 5609.437988 194.219727 1
2003/8/27 5553.430176 5611.402051 194.219727 1
2003/8/28 5523.120117 5593.654102 275.069824 0
2003/8/29 5650.830078 5594.496094 275.069824 1
2003/9/1 5691.790039 5595.484082 275.069824 1
2003/9/2 5715.950195 5627.024121 275.069824 1
2003/9/3 5673.180176 5650.974121 275.069824 1
2003/9/4 5625.629883 5671.476074 275.069824 1
2003/9/5 5639.029785 5669.116016 263.269531 0
2003/9/8 5727.009766 5676.159961 263.269531 1
2003/9/9 5680.689941 5669.107910 263.269531 1
2003/9/10 5623.430176 5659.157910 159.689941 0
2003/9/12 5645.279785 5663.087891 159.689941 0
2003/9/15 5623.220215 5659.925977 159.689941 0
2003/9/16 5699.259766 5654.375977 159.689941 0
2003/9/17 5747.140137 5667.666016 159.689941 1
2003/9/18 5750.810059 5693.141992 159.689941 1
2003/9/19 5757.910156 5715.668066 159.689941 1
2003/9/22 5675.750000 5726.174023 159.689941 1
2003/9/23 5684.009766 5723.124023 96.559570 0
2003/9/24 5722.359863 5718.167969 96.559570 0
2003/9/25 5688.229980 5705.651953 96.559570 0
2003/9/26 5650.109863 5684.091895 96.559570 0
2003/9/29 5643.500000 5677.641895 96.559570 0
2003/9/30 5611.410156 5663.121973 96.559570 0
2003/10/1 5581.660156 5634.982031 96.559570 0
2003/10/2 5699.859863 5637.308008 96.559570 1
2003/10/3 5747.790039 5656.844043 96.559570 1
2003/10/6 5851.200195 5698.384082 96.559570 1
2003/10/7 5856.680176 5747.438086 96.559570 1
2003/10/8 5821.799805 5795.466016 96.559570 1
2003/10/9 5869.879883 5829.470020 96.559570 1
2003/10/13 5972.470215 5874.406055 96.559570 1
2003/10/14 5938.419922 5891.850000 96.559570 1
2003/10/15 5924.379883 5905.389941 96.559570 1
2003/10/16 6035.740234 5948.178027 96.559570 1
2003/10/17 6042.709961 5982.744043 96.559570 1
2003/10/20 6077.890137 6003.828027 96.559570 1
2003/10/21 6061.459961 6028.436035 96.559570 1
2003/10/22 6041.859863 6051.932031 96.559570 1
2003/10/23 5952.229980 6035.229980 348.929688 0
